LAMBOD-60
      31
       0       0
     0.1   0.335
     0.2    0.62
     0.3    0.77
     0.4   0.899
     0.5       1
       1    1.46
     1.5     1.8
       2     2.1
     2.5   2.336
       5   3.405
      10   4.938
      15   6.085
      20   7.002
      25   7.781
      30   8.462
      35   9.048
      40    9.52
      45   9.845
      50   9.991
      55   9.921
      60   9.612
      65   9.047
      70   8.223
      75    7.15
      80    5.86
      85   4.399
      90    2.86
      95   1.314
    97.5   0.613
     100       0
